timestamp,contract_type,action_taken,tx_hash,range_width_multiplier_setting,predictedPrice_api,predictedTick_calculated,external_api_eth_price,actualPrice_pool,sqrtPriceX96_pool,currentTick_pool,targetTickLower_offchain,targetTickUpper_offchain,initial_contract_balance_token0,initial_contract_balance_token1,currentTickLower_contract,currentTickUpper_contract,currentLiquidity_contract,finalTickLower_contract,finalTickUpper_contract,finalLiquidity_contract,amount0_provided_to_mint,amount1_provided_to_mint,fees_collected_token0,fees_collected_token1,num_swaps_executed,gas_used,gas_cost_eth,error_message
2025-07-18 00:08:13,Baseline,fees_collect_only_success,0x7448f7ff024625e6c6c66774874ad9f6bd7fcd81a41f7bce7eed7138966acf3f,20,3453.654480371475,194848,3479.03,3464.29014482934087566334736980868074085163266675556570288475362607851239722907,1346084906444287862296816331462120,194817,194710,194910,2000000000000,50000000000000000000,0,0,0,194670,194870,549390636264609765,149271069348,49999999999999999972,42120536,21411747875946408,35,564268,0.001146128701434024,
2025-07-18 04:08:23,Baseline,fees_collect_only_success,0x83f7b98f291e964b5cda9d2666b182696e69425b06c46ba5edac1bbdd352636d,20,3579.7945995318887,194489,3591.97,3584.06385376714728908404313085477502836554591413196898469625159394762397409983,1323401780213730415110264978520176,194477,194370,194570,2000000000000,50000000000000000000,0,0,0,194330,194530,547284594208958365,147537968766,49999999999999999953,38570157,19327408221124738,35,530096,0.001161696696786752,
2025-07-18 08:08:11,Baseline,fees_collect_only_success,0xa76d6d1abb460f318b69c343b1b57c1ea0957abbea2c4892bc805e71e1f81bf5,20,3621.1271689653395,194374,3618.71,3613.64050191402688798580570510309569178842127056405890804737654094456918028520,1317974814053549726758034824064508,194395,194290,194490,2000000000000,50000000000000000000,0,0,0,194310,194510,594722536587534211,175920376963,49999999999999999991,72862181,16191595969699397,35,485459,0.001484730070751694,
2025-07-18 12:08:19,Baseline,fees_collect_only_success,0xe4e58e3c967e2987f9a0f70567797c60fb749b70a95d5958f868e66f4bbec383,20,3623.7864392852784,194367,3617.16,3619.87452480505378324473646258390864588582223728447220887952625962154427040855,1316839439663603660209075605680911,194377,194270,194470,2000000000000,50000000000000000000,0,0,0,194290,194490,581119030899961865,167757906021,49999999999999999915,70439676,15653049171742803,35,530152,0.001105038523175272,
2025-07-18 16:08:21,Baseline,fees_collect_only_success,0xeb467e2139ba2f15c74d4926a91238d018ab0ada39dcc0ebdd05145b8525b7cb,20,3568.466005733013,194521,3567.91,3564.42030538750265865874653001854892361155939966513084030605468135628036907363,1327043408664064492955832630738170,194532,194430,194630,2000000000000,50000000000000000000,0,0,0,194420,194620,569515949747129364,160921709533,49999999999999999971,63207337,19448411627745039,35,519631,0.001417253394377058,
2025-07-18 20:08:11,Baseline,fees_collect_only_success,0x51ebc3000a53e2fbcb43807eaab306bcee6a21b5899947b1922a62abf3f26524,20,3519.1010995066167,194660,3552.48,3535.17585057311990838397685018205818440977956505126761413735745242036243529737,1332521033050000886697524297722306,194614,194510,194710,2000000000000,50000000000000000000,0,0,0,194460,194660,555979566906941638,152908501184,49999999999999999912,50752070,25395915707299666,35,519603,0.001013452837011741,
2025-07-19 00:08:23,Baseline,fees_collect_only_success,0x1e9f86716fa61e58c29320505f44055531ff4bc64dbae9341d9ba1b61c56348d,20,3525.1781740021706,194643,3548.76,3530.72857056335332924919032649082133907838330637694173784398288386477927129013,1333359985845799429688451394521922,194627,194520,194720,2000000000000,50000000000000000000,0,0,0,194480,194680,591383288724042772,173961619554,49999999999999999967,53136038,26578213883195438,35,519603,0.000803831634573450,
2025-07-19 04:08:30,Baseline,fees_collect_only_success,0xd807ccf475fa37be0583bd21f87e9387b0467ff974db5270dcc385060966a35e,20,3564.163576712608,194533,3594.59,3585.64816274576764268348414326825612456021291342824547291226108293061645310092,1323109377155548598457080588042824,194472,194370,194570,2000000000000,50000000000000000000,0,0,0,194340,194540,561956429114711233,156327882429,49999999999999999973,37411763,16532043854093546,35,485459,0.000643280218889854,
2025-07-19 08:08:11,Baseline,fees_collect_only_success,0x9fdcd7a847be0046850e5602708ebdb031837aeb29ba9854aae828690975b686,20,3569.1470106697084,194519,3574.77,3564.97129411486619393574190395742654402355522635474710153893549559671389795822,1326940853250135444082381693520778,194530,194430,194630,2000000000000,50000000000000000000,0,0,0,194400,194600,582118085611144324,168419345887,49999999999999999948,55927130,22467904976549657,35,519519,0.000660529707451614,
2025-07-19 12:08:24,Baseline,fees_collect_only_success,0xcbcc47e9f11bf81d81d7ae75c30193291e21914ca01efe514091633b8c59e334,20,3569.782293423414,194517,3553.60,3560.60820803568598523334241220789901565240535317328451445814519306283394461369,1327753605498539370370204383304490,194543,194440,194640,2000000000000,50000000000000000000,0,0,0,194460,194660,590150811805301068,173225152788,49999999999999999994,74823016,16507856380199621,35,519603,0.000664825503453069,
2025-07-19 16:08:10,Baseline,fees_collect_only_success,0xde59f1cfc9b30cb7284f3db4872e91c4481c65536cd0287f1dacc550c184b4bc,20,3552.4061599552633,194566,3552.58,3549.46585327880387688773326729457601360000210013552779901925170650121293809172,1329835990576601188338340187233231,194574,194470,194670,2000000000000,50000000000000000000,0,0,0,194450,194650,567138501634757194,159533268576,49999999999999999916,45526905,17341145065790546,35,604796,0.000886457190809916,
2025-07-19 20:08:21,Baseline,fees_collect_only_success,0xf11b19913560be901a25680c9b5ad455305e00fd68f16d79ac356d0cdbb69b1c,20,3579.3865077495575,194490,3579.37,3577.75628702697869770661543878356366805711987504888051657633015526872938079794,1324567841915087425621488197236551,194495,194390,194590,2000000000000,50000000000000000000,0,0,0,194390,194590,578256450553601083,166110021975,49999999999999999949,25841088,7536984260814067,35,604824,0.000723751149153648,
2025-07-20 00:08:23,Baseline,fees_collect_only_success,0x5447345eb679087891b0ca1391a62a93960382e2e48f9a4e0d6ce78cfddb23c4,20,3601.7554468023777,194428,3592.69,3596.75155449515046404698671965728997301889271957717931284888592075591121708201,1321065538839443855506839555246854,194442,194340,194540,2000000000000,50000000000000000000,0,0,0,194350,194550,600600852565622833,179443525989,50000000000000000000,35923741,7983134389040841,35,514943,0.000593195325849269,
2025-07-20 04:08:33,Baseline,fees_collect_only_success,0x5e1d6425fb9ea1be1f1355c71fcb545993c3addc680391f339ba38c225e7cf57,20,3667.8728472805024,194246,3660.87,3663.25427591498553355964037173031113968835025257366740293272558100121943132296,1309019304103936214778453372952022,194258,194150,194350,2000000000000,50000000000000000000,0,0,0,194160,194360,563403631260543213,156974821396,49999999999999999928,40517999,9005265554033524,35,485403,0.000665163593870040,
