timestamp,contract_type,action_taken,tx_hash,range_width_multiplier_setting,external_api_eth_price,actualPrice_pool,sqrtPriceX96_pool,currentTick_pool,targetTickLower_offchain,targetTickUpper_offchain,initial_contract_balance_token0,initial_contract_balance_token1,currentTickLower_contract,currentTickUpper_contract,currentLiquidity_contract,finalTickLower_contract,finalTickUpper_contract,finalLiquidity_contract,amount0_provided_to_mint,amount1_provided_to_mint,fees_collected_token0,fees_collected_token1,gas_used,gas_cost_eth,error_message
2025-07-09 10:43:49,Baseline,tx_success_adjusted_final,0x7ac4702b056cfe42e3dad74facfe7ce1e686e332bc3797cd6425198a890badef,50,2616.79,2616.33976283868650622104915691741734258461901025334379654770787878974769011688,1548932573541716488865426676542314,197624,197390,197890,1225000000000,50000000000000000000,0,0,0,197390,197890,423467572753105850,268390014761,103092373987219411924,0,1546960473846629,1031649,0.001220630508402954,
2025-07-09 12:07:51,Baseline,tx_success_adjusted_final,0x048bd19683b8f44bf5a5e66f1ab0f4e37ed02fc0d68d7599fde9e567c87a147f,50,2626.75,2627.32425915804561234818939544170643719021928472892596841838567603919257542972,1545691240663915935956645006357181,197582,197340,197840,1225000000000,50000000000000000000,0,0,0,197340,197840,410589005845767307,251518030815,103274766405498187715,0,1638202303901044,1031537,0.001379676231624985,
2025-07-09 16:07:48,Baseline,tx_success_adjusted_final,0xa4192165f0b243fb12b3244f707b74d4f03b35f73ea0a2cf41c653cf9822c5b8,50,2657.03,2655.87755436650594195785016628433213171801344176905829481161153698530367898151,1537359937377164622325379009654312,197474,197240,197740,1225000000000,50000000000000000000,0,0,0,197240,197740,426968152826108892,273033321819,103021796003593601895,0,1511653828711156,1031453,0.001631771818841533,
2025-07-09 17:51:06,Baseline,tx_success_adjusted_final,0x70084bcaebb61b0601588a6a9fb5298b040eefc2e9cc81575eb7043a7890aa00,50,,2656.14324978351153552084596358044588545156113007812550152813375183621252679797,1537283043989534225086525091053413,197473,197240,197740,1225000000000,50000000000000000000,0,0,0,197240,197740,427727419797697488,273380990439,103256984350273262562,0,1629306828550907,1031453,0.001615185513829358,
2025-07-09 20:07:49,Baseline,tx_success_adjusted_final,0x2ac4990038ea015682dd3e202b650b1aed877bba3bc9849d275ca4a4f96a4dba,50,2761.99,2763.06580323924537931104697302925675550061134798466068336170350363563806103164,1507245409337920696689603938995354,197079,196840,197340,1225000000000,50000000000000000000,0,0,0,196840,197340,424058092623521699,266870662224,103838491316483553601,0,1920205761122338,1031453,0.004387481562527983,
2025-07-10 00:07:48,Baseline,tx_success_adjusted_final,0x18d8180d45b409271d8cf1e51f816244dfe610294d4772a8eb07e8374906fa86,50,2770.45,2768.59488754359600541326382290613358641852556739897587492323854823396369273721,1505739618101203947518494711103288,197059,196820,197320,1225000000000,50000000000000000000,0,0,0,196820,197320,424365138731215477,267187508276,103861780178882346430,0,1931856017449898,1031355,0.001221546225584612,
2025-07-10 04:07:50,Baseline,tx_success_adjusted_final,0x6cd9be86004d92ea57c83373c88c5544e060cb711a265abfc13e328ae5cee6dc,50,2773.51,2775.93746943040741991917191115882870101923665291880308271614805956616101299000,1503746897214968285246783005835072,197032,196800,197300,1225000000000,50000000000000000000,0,0,0,196800,197300,436199619348356321,282374219675,103957653526487993515,0,1979816671579786,1042997,0.001186315523713289,
