timestamp,contract_type,action_taken,tx_hash,range_width_multiplier_setting,predictedPrice_api,predictedTick_calculated,external_api_eth_price,actualPrice_pool,sqrtPriceX96_pool,currentTick_pool,targetTickLower_offchain,targetTickUpper_offchain,initial_contract_balance_token0,initial_contract_balance_token1,currentTickLower_contract,currentTickUpper_contract,currentLiquidity_contract,finalTickLower_contract,finalTickUpper_contract,finalLiquidity_contract,amount0_provided_to_mint,amount1_provided_to_mint,fees_collected_token0,fees_collected_token1,num_swaps_executed,gas_used,gas_cost_eth,error_message,currentTick_pool_WETHUSDC_price,finalTickLower_contract_WETHUSDC_price,finalTickUpper_contract_WETHUSDC_price,predictedTick_calculated_WETHUSDC_price,amount_USDC_minted_readable,amount_USDC_minted_usd,initial_balance_USDC_readable,initial_balance_USDC_usd,fees_USDC_collected_readable,fees_USDC_collected_usd,amount_WETH_minted_readable,amount_WETH_minted_usd,initial_balance_WETH_readable,initial_balance_WETH_usd,fees_WETH_collected_readable,fees_WETH_collected_usd
2025-07-20 20:08:17,Baseline,fees_collect_only_success,0xc331194ef3b1489e8bd9c3072b034a1a2738bec5b70b1ac5e2a79ed0ea86509d,20,3752.1635,194019,3750.2,3748.9338,1.2939744464078512e+33,194027,193920,194120,2000000000000.0,5e+19,0,0,0,193910,194110,5.6301822554369094e+17,156383198944.0,5e+19,33934058,1.1013648716776484e+16,35,519687,0.000864,,3749.1753,3793.2961,3718.1875,3752.1757,156383.1989,156383.1989,2000000.0,2000000.0,33.934058,33.9341,50.0,130825.0,50.0,130825.0,0.01101365,28.8172
2025-07-21 00:08:17,Baseline,fees_collect_only_success,0xc8337720dd93f53ac31fede2ec4ad48a1abb85102a895310e21825b19d5a058f,20,3746.1941,194034,3756.41,3750.2969,1.2937392661008111e+33,194024,193920,194120,2000000000000.0,5e+19,0,0,0,193890,194090,5.752373735066247e+17,163825266148.0,5e+19,27271263,1.363613498166242e+16,35,519575,0.00066,,3750.3002,3800.8899,3725.631,3746.552,163825.2661,163825.2661,2000000.0,2000000.0,27.271263,27.2713,50.0,130825.0,50.0,130825.0,0.01363613,35.6789
2025-07-21 04:08:19,Baseline,fees_collect_only_success,0x2f95cf42bbeecee302da06ba80736b57c4131da73feab752072477a1d272ecd4,20,3729.9397,194078,3760.72,3752.5182,1.2933562892767612e+33,194018,193910,194110,2000000000000.0,5e+19,0,0,0,193900,194100,5.836434816210575e+17,168976643312.0,5e+19,13034401,6517816578073907.0,35,519603,0.000644,,3752.551,3797.0911,3721.9074,3730.1042,168976.6433,168976.6433,2000000.0,2000000.0,13.034401,13.0344,50.0,130825.0,50.0,130825.0,0.00651782,17.0539
2025-07-21 08:08:19,Baseline,fees_collect_only_success,0xafd92d1f1d2bef36ab27ceca0f36b22a841a15534957c38aace7aea13b72560b,20,3781.9948,193939,3789.18,3779.3119,1.2887634637827484e+33,193946,193840,194040,2000000000000.0,5e+19,0,0,0,193820,194020,6.151609377502401e+17,188247428410.0,5e+19,28257149,1.4131004298267334e+16,35,519603,0.000721,,3779.6655,3827.5881,3751.8006,3782.312,188247.4284,188247.4284,2000000.0,2000000.0,28.257149,28.2571,50.0,130825.0,50.0,130825.0,0.014131,36.9738
2025-07-21 12:08:22,Baseline,fees_collect_only_success,0xf4b852709223f34df53120e44f64eab0c716fbb3e132b32d05501c325210ae16,20,3812.0153,193860,3807.69,3809.2035,1.283696915203284e+33,193868,193760,193960,2000000000000.0,5e+19,0,0,0,193760,193960,6.10262190170037e+17,185225233975.0,5e+19,36713231,1.1296379569608704e+16,35,519547,0.000896,,3809.2606,3850.6215,3774.3779,3812.3091,185225.234,185225.234,2000000.0,2000000.0,36.713231,36.7132,50.0,130825.0,50.0,130825.0,0.01129638,29.557
2025-07-21 16:08:22,Baseline,fees_collect_only_success,0x4ee1141056364e2e957f28db3302f1ad8d9e49d07e131b7ed06ebb631b960447,20,3841.0878,193784,3817.65,3816.3918,1.2824873945355352e+33,193849,193740,193940,2000000000000.0,5e+19,0,0,0,193750,193950,5.825198992726476e+17,168131756704.0,5e+19,41543493,9231204747540884.0,35,604852,0.001585,,3816.5048,3854.4739,3778.154,3841.3916,168131.7567,168131.7567,2000000.0,2000000.0,41.543493,41.5435,50.0,130825.0,50.0,130825.0,0.0092312,24.1534
2025-07-21 20:08:24,Baseline,fees_collect_only_success,0xdafffe94cb3e99428db06c07fd500abf20bbe237a197941e90ede4c1d529cf96,20,3751.6288,194020,3731.01,3740.7086,1.2953962776519814e+33,194049,193940,194140,2000000000000.0,5e+19,0,0,0,193950,194150,5.741340489934746e+17,163223226848.0,5e+19,38056155,8488564430239296.0,35,519659,0.000704,,3740.9366,3778.154,3703.3452,3751.8006,163223.2268,163223.2268,2000000.0,2000000.0,38.056155,38.0562,50.0,130825.0,50.0,130825.0,0.00848856,22.2103
2025-07-22 00:08:20,Baseline,fees_collect_only_success,0x580b86a998b9bf2d380ee363d21a6c2e3eaea68ee50f579e99c52961570ebf7c,20,3755.9537,194008,3761.75,3754.8337,1.2929574353532516e+33,194011,193910,194110,2000000000000.0,5e+19,0,0,0,193880,194080,5.777475075834404e+17,165349246583.0,5e+19,25634243,1.281966461567836e+16,35,604712,0.000691,,3755.1785,3804.6925,3729.3583,3756.3052,165349.2466,165349.2466,2000000.0,2000000.0,25.634243,25.6342,50.0,130825.0,50.0,130825.0,0.01281966,33.5426
2025-07-22 04:08:22,Baseline,fees_collect_only_success,0xc239c57dec4d4a5f4cd43f50e23cad04dc5e76efe44c79982c2f64cda0885f84,20,3730.1073,194077,3728.62,3727.1156,1.2977563148368864e+33,194086,193980,194180,2000000000000.0,5e+19,0,0,0,193970,194170,5.87348875638641e+17,171298019354.0,5e+19,30445058,1.098953820586622e+16,35,519659,0.00061,,3727.1214,3770.6056,3695.9463,3730.4772,171298.0194,171298.0194,2000000.0,2000000.0,30.445058,30.4451,50.0,130825.0,50.0,130825.0,0.01098954,28.7541
2025-07-22 08:08:19,Baseline,fees_collect_only_success,0xad6e7f748433469df71c4ccacedb4079fa7a18520226a19abc82d882f4c53fcc,20,3698.3792,194163,3676.73,3679.6581,1.3060982526223117e+33,194214,194110,194310,2000000000000.0,5e+19,0,0,0,194120,194320,5.928709776559788e+17,174741502458.0,5e+19,41227098,9156476273521304.0,35,519519,0.00067,,3679.7207,3714.4714,3640.9236,3698.5342,174741.5025,174741.5025,2000000.0,2000000.0,41.227098,41.2271,50.0,130825.0,50.0,130825.0,0.00915648,23.9579
